pop_label,network_code,N,seed,par_mean,peak_hour_mean,peak_hour_shift,mean_cost_norm,mean_price_advantage,total_flexibility,mean_adjustment,emd_vs_baseline
Habitual,250b,250,7,1.5828881766781344,17.016666666666666,-1.25,8.761995185103826,-1.0581354628816058,378.0478345793135,1.0633276779087824,1.555176261075385
Habitual,250c,250,7,1.5749721323255568,17.1,-1.0,8.747478073872275,-1.0431489072056073,381.03420254870963,1.0714188099053186,1.357892276080414
Progressive,250a,250,7,1.56329406090998,16.575,-1.25,8.471511647318925,-0.8158533139855924,745.9430405762614,1.780451645704747,2.009924521034006
Progressive,250b,250,7,1.5614538092414054,16.616666666666667,-1.25,8.463509977651778,-0.8053196998740018,732.0494042157977,1.7356552058526404,1.77033585557921
Progressive,250c,250,7,1.5610719212561421,16.7,-2.0,8.457726777964565,-0.8017976112978994,742.8290990394227,1.7817636213195693,1.8916712207915662
Tipping,250a,250,7,1.5815537837597518,17.266666666666666,-1.25,8.774948998001003,-1.0682351091121132,412.50353125588316,1.0727184187195875,1.217665181690299
Tipping,250b,250,7,1.5864752790504182,17.266666666666666,-1.75,8.786709705149296,-1.0853735940381846,408.4671746507934,1.0784589528421538,1.3923305255543275
Tipping,250c,250,7,1.569566331601823,17.35,-1.75,8.76940407094895,-1.0611846265045046,404.65291942147184,1.0572342279061686,1.3892851742425552
Balanced,250a,250,7,1.5514143211926952,16.75,-1.25,8.49359808723562,-0.8344355872356213,693.5928145196463,1.7305808123739028,1.9236839908762877
Balanced,250b,250,7,1.558515565809079,16.833333333333332,-1.5,8.496315047157012,-0.8349456027125673,679.8978965750779,1.7894646723104002,2.1104285510373697
Balanced,250c,250,7,1.5461962859487486,16.616666666666667,-1.5,8.497921891959814,-0.8356691141820378,688.5654653655549,1.7427239089073971,1.8430035715947102
Price-Maximalist,250a,250,7,1.6006481887518194,15.5,-3.5,8.017087498436442,-0.4739499984364429,1341.5723645969451,2.867062993888835,3.40569705400481
Price-Maximalist,250b,250,7,1.6037284245613663,15.641666666666667,-2.25,8.072176268640055,-0.511879046417832,1196.4050850595218,2.6365889657477948,3.139175840478187
Price-Maximalist,250c,250,7,1.5958074274730571,15.466666666666667,-3.5,8.020279546249265,-0.4754948240270434,1347.505410075163,2.88274423492425,3.724359046826129
Social-Maximalist,250a,250,7,1.5959114105305496,16.933333333333334,-1.75,8.678375481465139,-0.986869925909582,545.5442016036825,1.4629699836100762,1.7007165316060187
Social-Maximalist,250b,250,7,1.5908576872834346,16.958333333333332,-1.25,8.670225503254896,-0.9741630032548971,535.5092467230484,1.538077969652789,1.7477841061546662
Social-Maximalist,250c,250,7,1.5869339751897542,16.966666666666665,-1.75,8.655715866650796,-0.9705158666507963,530.427422963511,1.5307872255368675,1.4782851140862812
Habitual,250a,250,8,1.5789697501023676,17.333333333333332,-0.75,8.726966266037758,-1.071928766037759,379.701360696453,1.0267538980392659,1.1779404172822587
Habitual,250b,250,8,1.5770986843143835,17.158333333333335,0.0,8.723069370472219,-1.0661999260277744,378.93596220841044,1.0515464035920457,1.2412904038190011
Habitual,250c,250,8,1.5880890795755722,17.125,-0.75,8.728252361534503,-1.0663023615345029,377.56347039356393,1.0547554702417463,1.4531935848453417
Progressive,250a,250,8,1.550972594052156,16.583333333333332,-1.25,8.401829866528468,-0.789047922084023,729.5880648668707,1.8721066094637395,2.0862435602207636
Progressive,250b,250,8,1.5543928287090956,16.591666666666665,-2.5,8.407657868538019,-0.8023662018713527,734.1142778875007,1.9171643771970182,2.190441204908383
Progressive,250c,250,8,1.5528301093678392,16.466666666666665,-1.25,8.401308192975419,-0.7916568040865299,741.9940574916418,1.8163636210646616,2.0148321343166624
Tipping,250a,250,8,1.590438796341919,17.075,-1.0,8.723445014590872,-1.0646589034797609,429.00413279954864,1.0893308224656233,1.3572562338916008
Tipping,250b,250,8,1.597476042916528,17.191666666666666,0.0,8.720017471514979,-1.0643883048483123,432.8252139321638,1.0980170677488728,1.1941455123818003
Tipping,250c,250,8,1.5884163560880509,17.091666666666665,-1.5,8.716432063047803,-1.0627626186033607,434.7011650356727,1.1003610517697477,1.0974950661262537
Balanced,250a,250,8,1.556197431858118,16.633333333333333,-1.25,8.450437092176523,-0.8400551477320789,695.6993088566757,1.7630353320414724,1.9947750040927037
Balanced,250b,250,8,1.580756774318744,16.65,-1.5,8.449627515205568,-0.8361150152055689,706.8745503272926,1.7946198916529241,1.832446730969561
Balanced,250c,250,8,1.5646149057573453,16.575,-1.5,8.47261943029999,-0.855654152522212,707.0590841747088,1.7232528577680544,1.820632663524438
Price-Maximalist,250a,250,8,1.5882650481830778,15.725,-2.5,8.0215540651277,-0.5059207317943699,1233.1879947616565,2.757170545179989,3.4190802321774374
Price-Maximalist,250b,250,8,1.595882302815285,15.65,-3.0,8.015191038490089,-0.505609094045645,1277.2489225477705,2.719730427105177,3.407238597380519
Price-Maximalist,250c,250,8,1.599258047932438,15.716666666666667,-3.25,8.002089522525578,-0.4881409114144689,1267.5139371011326,2.649943854924654,3.155822816612441
Social-Maximalist,250a,250,8,1.5663142837527044,17.15,0.0,8.605829837813411,-0.9691340044800777,574.4985636854678,1.4802441464494902,1.7241488736961972
Social-Maximalist,250b,250,8,1.5842848402000698,17.025,-1.25,8.618932381625047,-0.9772393260694907,578.0811452708208,1.495224810038725,1.8605738239755332
Social-Maximalist,250c,250,8,1.5646540667440203,16.758333333333333,-1.0,8.586749517317632,-0.9544300728731868,580.2757032789822,1.51697411444847,1.5990779994091475
Habitual,250a,250,9,1.5758436495966512,17.175,0.0,8.659448798080058,-1.0331529647467261,376.7633941279464,1.0921467640991445,1.382849924353203
Habitual,250b,250,9,1.559009668496349,17.216666666666665,0.0,8.66220243963514,-1.0309927174129174,375.8010129251117,1.088863627135954,1.548326161801688
Habitual,250c,250,9,1.5698302865775882,17.275,0.0,8.671724326301334,-1.0428159929680008,378.6314229621484,1.0675093869762,1.496359150844945
