pop_label,network_code,N,seed,dominant_group,cost_norm_mean,cost_norm_day29,adjustment_mean
Progressive,500c,500,1,Habit-driven,8.69019146778536,8.497969102068568,1.0552400506916229
Progressive,500c,500,1,Price-responsive,7.935950930879947,7.2828351988066125,3.023628096722126
Progressive,500c,500,1,Social-influenced,8.611053416525376,8.325252677526345,1.5910304475577348
Progressive,500c,500,2,Habit-driven,8.652442398977874,8.367242588314571,1.1040484827662127
Progressive,500c,500,2,Price-responsive,7.9068942375455045,7.208893538215176,3.314237308269043
Progressive,500c,500,2,Social-influenced,8.615324575625992,8.19096814099222,1.5595461391981917
Progressive,500c,500,3,Habit-driven,8.664234856649282,8.305426452209538,1.1349645415735556
Progressive,500c,500,3,Price-responsive,7.94215940572771,7.329272135725557,3.2279734709124415
Progressive,500c,500,3,Social-influenced,8.59190959745071,8.255216786651083,1.5998423105629265
Progressive,500c,500,4,Habit-driven,8.548966555521144,8.35622962212464,1.158068067492194
Progressive,500c,500,4,Price-responsive,7.86095255351343,7.238652932794557,3.2504668585846086
Progressive,500c,500,4,Social-influenced,8.543980894671748,8.293035787259678,1.6523653945699517
Progressive,500c,500,5,Habit-driven,8.658692011004323,8.359838892242268,1.117744780073461
Progressive,500c,500,5,Price-responsive,7.915040144379169,7.191131792558496,3.329864272841227
Progressive,500c,500,5,Social-influenced,8.61518079906389,8.173809977370873,1.6047797461389934
Progressive,500c,500,6,Habit-driven,8.641043584430514,8.324611168840656,1.0846836681644125
Progressive,500c,500,6,Price-responsive,7.931903343548823,7.292578206715191,3.221361860320576
Progressive,500c,500,6,Social-influenced,8.618265075145986,8.047759895072142,1.5800717453131923
Progressive,500c,500,7,Habit-driven,8.641282570456637,8.279855438684663,1.154020173424162
Progressive,500c,500,7,Price-responsive,7.909381248022199,7.262360731637955,3.247816022477458
Progressive,500c,500,7,Social-influenced,8.61667258400419,8.239195205942647,1.594190982458809
Progressive,500c,500,8,Habit-driven,8.651408602892104,8.427889394641696,1.1100285867348618
Progressive,500c,500,8,Price-responsive,7.908153059309141,7.283980669323193,3.1684401233439172
Progressive,500c,500,8,Social-influenced,8.605620828044554,8.243619239330739,1.6041640759307205
Progressive,500c,500,9,Habit-driven,8.628344575683705,8.350897363856312,1.142042746217428
Progressive,500c,500,9,Price-responsive,7.929998453743586,7.300544073007661,3.14868046862252
Progressive,500c,500,9,Social-influenced,8.551013478852978,8.29019262311951,1.5603346269325966
Progressive,500c,500,10,Habit-driven,8.659226236564855,8.391054988533476,1.1080327861068424
Progressive,500c,500,10,Price-responsive,7.905835012960388,7.2823896623836175,3.2845952708588624
Progressive,500c,500,10,Social-influenced,8.591707800979888,8.456431777595645,1.6224987297285605
Tipping,500a,500,1,Habit-driven,8.812015282963946,8.626038793252143,0.9025054681341396
Tipping,500a,500,1,Price-responsive,8.073456501705643,7.295288528423467,3.1374675832607988
Tipping,500a,500,1,Social-influenced,8.80564869731736,8.689011446848331,1.0123904124978131
Tipping,500a,500,2,Habit-driven,8.785598850578358,8.691748491698721,0.8936247233156998
Tipping,500a,500,2,Price-responsive,7.964619256476688,7.602871180609818,3.2970817382170114
Tipping,500a,500,2,Social-influenced,8.761671372443985,8.459840509109382,0.9897673391606936
Tipping,500a,500,3,Habit-driven,8.78349811010426,8.593529696211123,0.9201763069069557
Tipping,500a,500,3,Price-responsive,7.906504736971894,6.9948069054514805,3.300862637072426
Tipping,500a,500,3,Social-influenced,8.76248029962182,8.806421633083339,1.0465778134815948
Tipping,500a,500,4,Habit-driven,8.698805587844266,8.55426756453133,0.9340782441568537
Tipping,500a,500,4,Price-responsive,7.910608969219717,7.109374514221821,3.3067752214942034
Tipping,500a,500,4,Social-influenced,8.680992698104689,8.560705459988295,1.080815349499826
Tipping,500a,500,5,Habit-driven,8.796975004858549,8.638941863844739,0.9435514433367628
Tipping,500a,500,5,Price-responsive,7.984592818012043,7.482944012745951,3.2307084466129097
Tipping,500a,500,5,Social-influenced,8.817512869006126,8.77772840206598,1.015768160834474
Tipping,500a,500,6,Habit-driven,8.772350018987657,8.617635211321922,0.9154424935565331
Tipping,500a,500,6,Price-responsive,7.8990908424983335,6.9709751254086765,3.3247616243831146
Tipping,500a,500,6,Social-influenced,8.780625547978559,8.666259221132039,1.0614290685900263
Tipping,500a,500,7,Habit-driven,8.7712136684876,8.548795991278185,0.8861849385391779
Tipping,500a,500,7,Price-responsive,7.944412201342799,7.098952413319199,3.4291281067986126
Tipping,500a,500,7,Social-influenced,8.750955860070391,8.511567156893836,1.0293548968706623
Tipping,500a,500,8,Habit-driven,8.777261266331154,8.62584944518845,0.9468123538840553
Tipping,500a,500,8,Price-responsive,7.932079035882403,7.295656348407035,3.403894329024475
Tipping,500a,500,8,Social-influenced,8.74583635769626,8.621034008108714,1.0841989830603094
Tipping,500a,500,9,Habit-driven,8.763980940382156,8.681763764568824,0.9363263939735926
Tipping,500a,500,9,Price-responsive,7.881133283155707,7.405135072967237,3.30978017030925
Tipping,500a,500,9,Social-influenced,8.738648995121054,8.78771472917687,1.091862991936442
Tipping,500a,500,10,Habit-driven,8.807582868033254,8.647511956941694,0.9109896413321256
Tipping,500a,500,10,Price-responsive,7.95443694550503,7.252939501947717,3.4201661429483488
Tipping,500a,500,10,Social-influenced,8.798429225592699,8.86186397872146,1.0414769426016195
